Vessel_ID,Zone,CML,Orientation,Elevation,Nominal_mm,t_min_mm,Reading_mm,Prev_mm,Prev_Date,Corr_Rate_mm_yr,Remaining_Life_yr,Condition,Service
V-301,TOP_HEAD,TO-C,Center,-,19.05,9.53,17.64,17.8,2022-04-15,0.08,101.4,Good,Separator
V-301,TOP_HEAD,TO-N,N,-,19.05,9.53,18.07,18.39,2022-04-15,0.16,53.4,Good,Separator
V-301,TOP_HEAD,TO-E,E,-,19.05,9.53,18.39,18.55,2022-04-15,0.08,110.8,Good,Separator
V-301,TOP_HEAD,TO-S,S,-,19.05,9.53,17.8,17.96,2022-04-15,0.08,103.4,Good,Separator
V-301,TOP_HEAD,TO-W,W,-,19.05,9.53,17.92,18.18,2022-04-15,0.13,64.5,Good,Separator
V-301,BTM_HEAD,BT-C,Center,-,19.05,9.53,17.05,17.27,2022-04-15,0.11,68.4,Good,Separator
V-301,BTM_HEAD,BT-N,N,-,19.05,9.53,16.89,17.18,2022-04-15,0.14,52.6,Good,Separator
V-301,BTM_HEAD,BT-E,E,-,19.05,9.53,16.9,17.13,2022-04-15,0.12,61.4,Good,Separator
V-301,BTM_HEAD,BT-S,S,-,19.05,9.53,17.35,17.61,2022-04-15,0.13,60.2,Good,Separator
V-301,BTM_HEAD,BT-W,W,-,19.05,9.53,16.58,16.78,2022-04-15,0.1,70.5,Good,Separator
V-301,SHELL_1,SC1-N,N,Mid,25.4,12.7,23.94,24.32,2022-04-15,0.19,59.2,Good,Separator
V-301,SHELL_1,SC1-NE,NE,Mid,25.4,12.7,24.42,24.75,2022-04-15,0.16,73.3,Good,Separator
V-301,SHELL_1,SC1-E,E,Mid,25.4,12.7,24.28,24.65,2022-04-15,0.18,64.3,Good,Separator
V-301,SHELL_1,SC1-SE,SE,Mid,25.4,12.7,23.76,24.11,2022-04-15,0.17,65.1,Good,Separator
V-301,SHELL_1,SC1-S,S,Mid,25.4,12.7,24.13,24.53,2022-04-15,0.2,57.1,Good,Separator
V-301,SHELL_1,SC1-SW,SW,Mid,25.4,12.7,24.26,24.55,2022-04-15,0.14,82.6,Good,Separator
V-301,SHELL_1,SC1-W,W,Mid,25.4,12.7,24.26,24.45,2022-04-15,0.09,128.4,Good,Separator
V-301,SHELL_1,SC1-NW,NW,Mid,25.4,12.7,24.96,25.32,2022-04-15,0.18,68.1,Good,Separator
V-301,SHELL_2,SC2-N,N,Mid,25.4,12.7,23.01,23.39,2022-04-15,0.19,54.3,Good,Separator
V-301,SHELL_2,SC2-NE,NE,Mid,25.4,12.7,22.26,22.57,2022-04-15,0.15,63.7,Good,Separator
V-301,SHELL_2,SC2-E,E,Mid,25.4,12.7,22.96,23.22,2022-04-15,0.13,78.9,Good,Separator
V-301,SHELL_2,SC2-SE,SE,Mid,25.4,12.7,22.8,23.0,2022-04-15,0.1,101.0,Good,Separator
V-301,SHELL_2,SC2-S,S,Mid,25.4,12.7,23.41,23.79,2022-04-15,0.19,56.4,Good,Separator
V-301,SHELL_2,SC2-SW,SW,Mid,25.4,12.7,22.57,22.8,2022-04-15,0.12,82.3,Good,Separator
V-301,SHELL_2,SC2-W,W,Mid,25.4,12.7,23.19,23.45,2022-04-15,0.13,80.7,Good,Separator
V-301,SHELL_2,SC2-NW,NW,Mid,25.4,12.7,22.93,23.15,2022-04-15,0.11,93.0,Good,Separator
V-301,SHELL_3,SC3-N,N,Mid,25.4,12.7,23.62,24.0,2022-04-15,0.19,57.5,Good,Separator
V-301,SHELL_3,SC3-NE,NE,Mid,25.4,12.7,24.41,24.61,2022-04-15,0.1,117.1,Good,Separator
V-301,SHELL_3,SC3-E,E,Mid,25.4,12.7,24.21,24.56,2022-04-15,0.17,67.7,Good,Separator
V-301,SHELL_3,SC3-SE,SE,Mid,25.4,12.7,24.12,24.51,2022-04-15,0.2,57.1,Good,Separator
V-301,SHELL_3,SC3-S,S,Mid,25.4,12.7,24.36,24.56,2022-04-15,0.1,116.6,Good,Separator
V-301,SHELL_3,SC3-SW,SW,Mid,25.4,12.7,24.12,24.42,2022-04-15,0.15,76.1,Good,Separator
V-301,SHELL_3,SC3-W,W,Mid,25.4,12.7,24.24,24.59,2022-04-15,0.18,64.1,Good,Separator
V-301,SHELL_3,SC3-NW,NW,Mid,25.4,12.7,24.61,24.97,2022-04-15,0.18,66.2,Good,Separator
V-301,NOZZLE,N1-Inlet,Inlet,-,11.13,5.57,10.66,10.84,2022-04-15,0.09,56.6,Good,Separator
V-301,NOZZLE,N2-Outlet,Outlet,-,11.13,5.57,10.35,10.45,2022-04-15,0.05,95.6,Good,Separator
V-301,NOZZLE,N3-Drain,Drain,-,11.13,5.57,10.72,10.86,2022-04-15,0.07,73.6,Good,Separator
V-301,NOZZLE,MH-Manway,Manway,-,11.13,5.57,10.67,10.86,2022-04-15,0.09,56.7,Good,Separator
