Vessel_ID,Zone,CML,Orientation,Elevation,Nominal_mm,t_min_mm,Reading_mm,Prev_mm,Prev_Date,Corr_Rate_mm_yr,Remaining_Life_yr,Condition,Service
V-102,TOP_HEAD,TO-C,Center,-,19.05,9.53,18.59,18.82,2022-04-15,0.12,75.5,Good,Amine Regenerator
V-102,TOP_HEAD,TO-N,N,-,19.05,9.53,18.43,18.59,2022-04-15,0.08,111.2,Good,Amine Regenerator
V-102,TOP_HEAD,TO-E,E,-,19.05,9.53,18.22,18.46,2022-04-15,0.12,72.4,Good,Amine Regenerator
V-102,TOP_HEAD,TO-S,S,-,19.05,9.53,18.25,18.55,2022-04-15,0.15,58.1,Good,Amine Regenerator
V-102,TOP_HEAD,TO-W,W,-,19.05,9.53,18.08,18.37,2022-04-15,0.15,57.0,Good,Amine Regenerator
V-102,BTM_HEAD,BT-C,Center,-,19.05,9.53,16.49,16.77,2022-04-15,0.14,49.7,Fair,Amine Regenerator
V-102,BTM_HEAD,BT-N,N,-,19.05,9.53,17.32,17.65,2022-04-15,0.16,48.7,Fair,Amine Regenerator
V-102,BTM_HEAD,BT-E,E,-,19.05,9.53,17.38,17.68,2022-04-15,0.15,52.3,Good,Amine Regenerator
V-102,BTM_HEAD,BT-S,S,-,19.05,9.53,16.93,17.09,2022-04-15,0.08,92.5,Good,Amine Regenerator
V-102,BTM_HEAD,BT-W,W,-,19.05,9.53,16.67,16.88,2022-04-15,0.1,71.4,Good,Amine Regenerator
V-102,SHELL_1,SC1-N,N,Mid,25.4,12.7,24.13,24.37,2022-04-15,0.12,95.2,Good,Amine Regenerator
V-102,SHELL_1,SC1-NE,NE,Mid,25.4,12.7,24.56,24.95,2022-04-15,0.2,59.3,Good,Amine Regenerator
V-102,SHELL_1,SC1-E,E,Mid,25.4,12.7,23.81,24.15,2022-04-15,0.17,65.4,Good,Amine Regenerator
V-102,SHELL_1,SC1-SE,SE,Mid,25.4,12.7,25.1,25.3,2022-04-15,0.1,124.0,Good,Amine Regenerator
V-102,SHELL_1,SC1-S,S,Mid,25.4,12.7,25.1,25.3,2022-04-15,0.1,124.0,Good,Amine Regenerator
V-102,SHELL_1,SC1-SW,SW,Mid,25.4,12.7,24.22,24.46,2022-04-15,0.12,96.0,Good,Amine Regenerator
V-102,SHELL_1,SC1-W,W,Mid,25.4,12.7,24.72,24.93,2022-04-15,0.11,109.3,Good,Amine Regenerator
V-102,SHELL_1,SC1-NW,NW,Mid,25.4,12.7,23.98,24.32,2022-04-15,0.17,66.4,Good,Amine Regenerator
V-102,SHELL_2,SC2-N,N,Mid,25.4,12.7,23.1,23.43,2022-04-15,0.16,65.0,Good,Amine Regenerator
V-102,SHELL_2,SC2-NE,NE,Mid,25.4,12.7,22.17,22.48,2022-04-15,0.15,63.1,Good,Amine Regenerator
V-102,SHELL_2,SC2-E,E,Mid,25.4,12.7,22.56,22.89,2022-04-15,0.17,58.0,Good,Amine Regenerator
V-102,SHELL_2,SC2-SE,SE,Mid,25.4,12.7,23.07,23.44,2022-04-15,0.19,54.6,Good,Amine Regenerator
V-102,SHELL_2,SC2-S,S,Mid,25.4,12.7,23.42,23.75,2022-04-15,0.16,67.0,Good,Amine Regenerator
V-102,SHELL_2,SC2-SW,SW,Mid,25.4,12.7,22.67,22.9,2022-04-15,0.11,90.6,Good,Amine Regenerator
V-102,SHELL_2,SC2-W,W,Mid,25.4,12.7,23.39,23.64,2022-04-15,0.12,89.1,Good,Amine Regenerator
V-102,SHELL_2,SC2-NW,NW,Mid,25.4,12.7,22.48,22.87,2022-04-15,0.2,48.9,Fair,Amine Regenerator
V-102,SHELL_3,SC3-N,N,Mid,25.4,12.7,24.94,25.13,2022-04-15,0.09,136.0,Good,Amine Regenerator
V-102,SHELL_3,SC3-NE,NE,Mid,25.4,12.7,23.85,24.09,2022-04-15,0.12,92.9,Good,Amine Regenerator
V-102,SHELL_3,SC3-E,E,Mid,25.4,12.7,23.98,24.36,2022-04-15,0.19,59.4,Good,Amine Regenerator
V-102,SHELL_3,SC3-SE,SE,Mid,25.4,12.7,24.25,24.49,2022-04-15,0.12,96.3,Good,Amine Regenerator
V-102,SHELL_3,SC3-S,S,Mid,25.4,12.7,24.19,24.39,2022-04-15,0.1,114.9,Good,Amine Regenerator
V-102,SHELL_3,SC3-SW,SW,Mid,25.4,12.7,24.18,24.41,2022-04-15,0.12,95.7,Good,Amine Regenerator
V-102,SHELL_3,SC3-W,W,Mid,25.4,12.7,24.82,25.15,2022-04-15,0.16,75.8,Good,Amine Regenerator
V-102,SHELL_3,SC3-NW,NW,Mid,25.4,12.7,24.09,24.39,2022-04-15,0.15,75.9,Good,Amine Regenerator
V-102,SHELL_4,SC4-N,N,Mid,25.4,12.7,23.95,24.31,2022-04-15,0.18,62.5,Good,Amine Regenerator
V-102,SHELL_4,SC4-NE,NE,Mid,25.4,12.7,23.85,24.19,2022-04-15,0.17,65.6,Good,Amine Regenerator
V-102,SHELL_4,SC4-E,E,Mid,25.4,12.7,25.09,25.32,2022-04-15,0.12,103.3,Good,Amine Regenerator
V-102,SHELL_4,SC4-SE,SE,Mid,25.4,12.7,24.6,24.9,2022-04-15,0.15,79.3,Good,Amine Regenerator
V-102,SHELL_4,SC4-S,S,Mid,25.4,12.7,24.65,24.92,2022-04-15,0.14,85.4,Good,Amine Regenerator
V-102,SHELL_4,SC4-SW,SW,Mid,25.4,12.7,24.15,24.54,2022-04-15,0.2,57.2,Good,Amine Regenerator
V-102,SHELL_4,SC4-W,W,Mid,25.4,12.7,25.02,25.31,2022-04-15,0.14,88.0,Good,Amine Regenerator
V-102,SHELL_4,SC4-NW,NW,Mid,25.4,12.7,24.69,24.89,2022-04-15,0.1,119.9,Good,Amine Regenerator
V-102,NOZZLE,N1-Inlet,Inlet,-,11.13,5.57,10.86,11.07,2022-04-15,0.11,48.1,Good,Amine Regenerator
V-102,NOZZLE,N2-Outlet,Outlet,-,11.13,5.57,10.7,10.92,2022-04-15,0.11,46.6,Good,Amine Regenerator
V-102,NOZZLE,N3-Drain,Drain,-,11.13,5.57,10.28,10.51,2022-04-15,0.12,39.2,Good,Amine Regenerator
V-102,NOZZLE,MH-Manway,Manway,-,11.13,5.57,10.48,10.64,2022-04-15,0.08,61.4,Good,Amine Regenerator
