Tank_ID,Zone,Course,Grid_Row,Grid_Col,Orientation,Original_mm,t_min_mm,Reading_mm,Service
T-602,SHELL,1,,,N,25.4,12.7,21.14,Diesel
T-602,SHELL,1,,,NE,25.4,12.7,20.66,Diesel
T-602,SHELL,1,,,E,25.4,12.7,21.07,Diesel
T-602,SHELL,1,,,SE,25.4,12.7,20.42,Diesel
T-602,SHELL,1,,,S,25.4,12.7,20.53,Diesel
T-602,SHELL,1,,,SW,25.4,12.7,21.04,Diesel
T-602,SHELL,1,,,W,25.4,12.7,21.1,Diesel
T-602,SHELL,1,,,NW,25.4,12.7,20.37,Diesel
T-602,SHELL,2,,,N,22.23,11.12,18.88,Diesel
T-602,SHELL,2,,,NE,22.23,11.12,18.46,Diesel
T-602,SHELL,2,,,E,22.23,11.12,19.01,Diesel
T-602,SHELL,2,,,SE,22.23,11.12,18.26,Diesel
T-602,SHELL,2,,,S,22.23,11.12,18.54,Diesel
T-602,SHELL,2,,,SW,22.23,11.12,18.89,Diesel
T-602,SHELL,2,,,W,22.23,11.12,18.54,Diesel
T-602,SHELL,2,,,NW,22.23,11.12,18.86,Diesel
T-602,SHELL,3,,,N,19.05,9.53,16.31,Diesel
T-602,SHELL,3,,,NE,19.05,9.53,16.1,Diesel
T-602,SHELL,3,,,E,19.05,9.53,16.56,Diesel
T-602,SHELL,3,,,SE,19.05,9.53,16.09,Diesel
T-602,SHELL,3,,,S,19.05,9.53,16.2,Diesel
T-602,SHELL,3,,,SW,19.05,9.53,16.18,Diesel
T-602,SHELL,3,,,W,19.05,9.53,16.3,Diesel
T-602,SHELL,3,,,NW,19.05,9.53,16.04,Diesel
T-602,SHELL,4,,,N,15.88,7.94,14.16,Diesel
T-602,SHELL,4,,,NE,15.88,7.94,14.21,Diesel
T-602,SHELL,4,,,E,15.88,7.94,14.09,Diesel
T-602,SHELL,4,,,SE,15.88,7.94,13.84,Diesel
T-602,SHELL,4,,,S,15.88,7.94,13.77,Diesel
T-602,SHELL,4,,,SW,15.88,7.94,14.08,Diesel
T-602,SHELL,4,,,W,15.88,7.94,13.79,Diesel
T-602,SHELL,4,,,NW,15.88,7.94,13.93,Diesel
T-602,SHELL,5,,,N,12.7,6.35,11.29,Diesel
T-602,SHELL,5,,,NE,12.7,6.35,11.35,Diesel
T-602,SHELL,5,,,E,12.7,6.35,11.54,Diesel
T-602,SHELL,5,,,SE,12.7,6.35,11.19,Diesel
T-602,SHELL,5,,,S,12.7,6.35,11.54,Diesel
T-602,SHELL,5,,,SW,12.7,6.35,11.4,Diesel
T-602,SHELL,5,,,W,12.7,6.35,11.38,Diesel
T-602,SHELL,5,,,NW,12.7,6.35,11.29,Diesel
T-602,SHELL,6,,,N,9.53,4.76,8.94,Diesel
T-602,SHELL,6,,,NE,9.53,4.76,8.61,Diesel
T-602,SHELL,6,,,E,9.53,4.76,8.65,Diesel
T-602,SHELL,6,,,SE,9.53,4.76,8.82,Diesel
T-602,SHELL,6,,,S,9.53,4.76,8.92,Diesel
T-602,SHELL,6,,,SW,9.53,4.76,8.66,Diesel
T-602,SHELL,6,,,W,9.53,4.76,8.62,Diesel
T-602,SHELL,6,,,NW,9.53,4.76,8.64,Diesel
T-602,FLOOR,,A,1,,6.35,2.54,5.89,Diesel
T-602,FLOOR,,A,2,,6.35,2.54,5.72,Diesel
T-602,FLOOR,,A,3,,6.35,2.54,5.59,Diesel
T-602,FLOOR,,A,4,,6.35,2.54,5.63,Diesel
T-602,FLOOR,,A,5,,6.35,2.54,5.9,Diesel
T-602,FLOOR,,A,6,,6.35,2.54,5.7,Diesel
T-602,FLOOR,,B,1,,6.35,2.54,5.93,Diesel
T-602,FLOOR,,B,2,,6.35,2.54,5.87,Diesel
T-602,FLOOR,,B,3,,6.35,2.54,5.77,Diesel
T-602,FLOOR,,B,4,,6.35,2.54,5.69,Diesel
T-602,FLOOR,,B,5,,6.35,2.54,5.7,Diesel
T-602,FLOOR,,B,6,,6.35,2.54,6.03,Diesel
T-602,FLOOR,,C,1,,6.35,2.54,5.97,Diesel
T-602,FLOOR,,C,2,,6.35,2.54,5.69,Diesel
T-602,FLOOR,,C,3,,6.35,2.54,6.0,Diesel
T-602,FLOOR,,C,4,,6.35,2.54,5.92,Diesel
T-602,FLOOR,,C,5,,6.35,2.54,5.91,Diesel
T-602,FLOOR,,C,6,,6.35,2.54,6.05,Diesel
T-602,FLOOR,,D,1,,6.35,2.54,6.09,Diesel
T-602,FLOOR,,D,2,,6.35,2.54,5.82,Diesel
T-602,FLOOR,,D,3,,6.35,2.54,5.59,Diesel
T-602,FLOOR,,D,4,,6.35,2.54,5.99,Diesel
T-602,FLOOR,,D,5,,6.35,2.54,5.75,Diesel
T-602,FLOOR,,D,6,,6.35,2.54,5.81,Diesel
T-602,FLOOR,,E,1,,6.35,2.54,5.75,Diesel
T-602,FLOOR,,E,2,,6.35,2.54,6.01,Diesel
T-602,FLOOR,,E,3,,6.35,2.54,5.68,Diesel
T-602,FLOOR,,E,4,,6.35,2.54,6.06,Diesel
T-602,FLOOR,,E,5,,6.35,2.54,6.05,Diesel
T-602,FLOOR,,E,6,,6.35,2.54,6.03,Diesel
T-602,FLOOR,,F,1,,6.35,2.54,5.98,Diesel
T-602,FLOOR,,F,2,,6.35,2.54,5.82,Diesel
T-602,FLOOR,,F,3,,6.35,2.54,6.04,Diesel
T-602,FLOOR,,F,4,,6.35,2.54,5.89,Diesel
T-602,FLOOR,,F,5,,6.35,2.54,6.03,Diesel
T-602,FLOOR,,F,6,,6.35,2.54,5.76,Diesel
T-602,ANNULAR,,Inner_Edge,,N,12.7,6.35,11.09,Diesel
T-602,ANNULAR,,Inner_Edge,,NE,12.7,6.35,11.43,Diesel
T-602,ANNULAR,,Inner_Edge,,E,12.7,6.35,11.38,Diesel
T-602,ANNULAR,,Inner_Edge,,SE,12.7,6.35,11.06,Diesel
T-602,ANNULAR,,Inner_Edge,,S,12.7,6.35,11.04,Diesel
