Circuit_ID,CML,Component,NPS,Schedule,Nominal_mm,t_min_mm,Reading_1,Reading_2,Reading_3,Reading_4,Min_mm,Prev_mm,Prev_Date,Corr_Rate_mm_yr,Remaining_Life_yr,Condition,Service,Material
CW-201,001,Straight,3,80,5.49,2.75,4.28,4.49,,,4.28,4.48,2024-08-05,0.11,14.0,Fair,Cooling Water,A53 Gr.B
CW-201,002,45° Elbow,4,80,6.02,3.01,4.85,4.96,,,4.85,4.97,2024-08-05,0.07,26.3,Good,Cooling Water,A53 Gr.B
CW-201,003,Reducer,4,80,6.02,3.01,4.3,4.38,,,4.3,4.47,2024-08-05,0.07,18.4,Fair,Cooling Water,A53 Gr.B
CW-201,004,45° Elbow,8,40,8.18,4.09,6.3,6.45,,,6.3,6.5,2024-08-05,0.08,27.6,Good,Cooling Water,A53 Gr.B
CW-201,005,Straight,4,80,6.02,3.01,4.79,4.91,,,4.79,5.0,2024-08-05,0.11,16.2,Fair,Cooling Water,A53 Gr.B
CW-201,006,Weldolet,8,40,8.18,4.09,6.71,6.55,,,6.55,6.78,2024-08-05,0.1,24.6,Good,Cooling Water,A53 Gr.B
CW-201,007,Control Valve,6,80,7.11,3.56,5.33,5.41,5.23,5.16,5.16,5.35,2024-08-05,0.1,16.0,Fair,Cooling Water,A53 Gr.B
CW-201,008,Tee-Run,6,80,7.11,3.56,5.96,6.0,6.02,5.95,5.95,6.03,2024-08-05,0.04,59.9,Good,Cooling Water,A53 Gr.B
CW-201,009,Tee-Branch,3,80,5.49,2.75,3.62,3.72,3.76,3.69,3.62,3.77,2024-08-05,0.06,14.6,Fair,Cooling Water,A53 Gr.B
CW-201,010,Flange,2,80,3.91,1.96,3.38,3.44,,,3.38,3.51,2024-08-05,0.09,15.8,Fair,Cooling Water,A53 Gr.B
CW-201,011,Reducer,6,80,7.11,3.56,6.05,6.11,,,6.05,6.22,2024-08-05,0.11,22.7,Good,Cooling Water,A53 Gr.B
CW-201,012,Tee-Branch,6,80,7.11,3.56,5.98,5.81,5.92,5.9,5.81,5.99,2024-08-05,0.08,28.2,Good,Cooling Water,A53 Gr.B
CW-201,013,90° Elbow,4,80,6.02,3.01,5.23,5.28,5.28,5.17,5.17,5.26,2024-08-05,0.04,54.0,Good,Cooling Water,A53 Gr.B
CW-201,014,Control Valve,6,80,7.11,3.56,5.72,5.85,5.62,5.74,5.62,5.86,2024-08-05,0.1,20.6,Good,Cooling Water,A53 Gr.B
CW-201,015,Reducer,2,80,3.91,1.96,3.34,3.34,,,3.34,3.5,2024-08-05,0.09,15.4,Fair,Cooling Water,A53 Gr.B
CW-201,016,Tee-Run,6,80,7.11,3.56,5.87,5.72,5.78,5.81,5.72,5.95,2024-08-05,0.15,14.4,Fair,Cooling Water,A53 Gr.B
CW-201,017,45° Elbow,4,80,6.02,3.01,4.79,4.76,,,4.76,4.97,2024-08-05,0.09,19.4,Fair,Cooling Water,A53 Gr.B
CW-201,018,Tee-Branch,3,80,5.49,2.75,4.69,4.61,4.58,4.64,4.58,4.7,2024-08-05,0.07,26.2,Good,Cooling Water,A53 Gr.B
CW-201,019,Flange,2,80,3.91,1.96,3.35,3.28,,,3.28,3.5,2024-08-05,0.1,13.2,Fair,Cooling Water,A53 Gr.B
CW-201,020,Flange,6,80,7.11,3.56,6.11,6.17,,,6.11,6.23,2024-08-05,0.07,36.5,Good,Cooling Water,A53 Gr.B
