Vessel_ID,Zone,CML,Orientation,Elevation,Nominal_mm,t_min_mm,Reading_mm,Prev_mm,Prev_Date,Corr_Rate_mm_yr,Remaining_Life_yr,Condition,Service
V-201,TOP_HEAD,TO-C,Center,-,19.05,9.53,17.7,17.92,2022-04-15,0.11,74.3,Good,Flash Drum
V-201,TOP_HEAD,TO-N,N,-,19.05,9.53,18.39,18.67,2022-04-15,0.14,63.3,Good,Flash Drum
V-201,TOP_HEAD,TO-E,E,-,19.05,9.53,18.26,18.57,2022-04-15,0.15,58.2,Good,Flash Drum
V-201,TOP_HEAD,TO-S,S,-,19.05,9.53,18.05,18.37,2022-04-15,0.16,53.3,Good,Flash Drum
V-201,TOP_HEAD,TO-W,W,-,19.05,9.53,18.38,18.7,2022-04-15,0.16,55.3,Good,Flash Drum
V-201,BTM_HEAD,BT-C,Center,-,19.05,9.53,16.88,17.05,2022-04-15,0.09,81.7,Good,Flash Drum
V-201,BTM_HEAD,BT-N,N,-,19.05,9.53,17.02,17.24,2022-04-15,0.11,68.1,Good,Flash Drum
V-201,BTM_HEAD,BT-E,E,-,19.05,9.53,16.94,17.22,2022-04-15,0.14,52.9,Good,Flash Drum
V-201,BTM_HEAD,BT-S,S,-,19.05,9.53,17.3,17.52,2022-04-15,0.11,70.6,Good,Flash Drum
V-201,BTM_HEAD,BT-W,W,-,19.05,9.53,16.95,17.19,2022-04-15,0.12,61.8,Good,Flash Drum
V-201,SHELL_1,SC1-N,N,Mid,25.4,12.7,25.03,25.32,2022-04-15,0.14,88.1,Good,Flash Drum
V-201,SHELL_1,SC1-NE,NE,Mid,25.4,12.7,24.28,24.54,2022-04-15,0.13,89.1,Good,Flash Drum
V-201,SHELL_1,SC1-E,E,Mid,25.4,12.7,24.2,24.52,2022-04-15,0.16,71.9,Good,Flash Drum
V-201,SHELL_1,SC1-SE,SE,Mid,25.4,12.7,24.03,24.28,2022-04-15,0.12,94.4,Good,Flash Drum
V-201,SHELL_1,SC1-S,S,Mid,25.4,12.7,23.85,24.15,2022-04-15,0.15,74.3,Good,Flash Drum
V-201,SHELL_1,SC1-SW,SW,Mid,25.4,12.7,25.09,25.27,2022-04-15,0.09,137.7,Good,Flash Drum
V-201,SHELL_1,SC1-W,W,Mid,25.4,12.7,25.03,25.39,2022-04-15,0.18,68.5,Good,Flash Drum
V-201,SHELL_1,SC1-NW,NW,Mid,25.4,12.7,23.74,24.05,2022-04-15,0.16,69.0,Good,Flash Drum
V-201,SHELL_2,SC2-N,N,Mid,25.4,12.7,22.35,22.66,2022-04-15,0.15,64.3,Good,Flash Drum
V-201,SHELL_2,SC2-NE,NE,Mid,25.4,12.7,22.45,22.84,2022-04-15,0.2,48.8,Fair,Flash Drum
V-201,SHELL_2,SC2-E,E,Mid,25.4,12.7,22.38,22.76,2022-04-15,0.19,50.9,Good,Flash Drum
V-201,SHELL_2,SC2-SE,SE,Mid,25.4,12.7,22.52,22.84,2022-04-15,0.16,61.4,Good,Flash Drum
V-201,SHELL_2,SC2-S,S,Mid,25.4,12.7,23.37,23.61,2022-04-15,0.12,88.9,Good,Flash Drum
V-201,SHELL_2,SC2-SW,SW,Mid,25.4,12.7,23.54,23.75,2022-04-15,0.11,98.5,Good,Flash Drum
V-201,SHELL_2,SC2-W,W,Mid,25.4,12.7,22.12,22.34,2022-04-15,0.11,85.6,Good,Flash Drum
V-201,SHELL_2,SC2-NW,NW,Mid,25.4,12.7,22.49,22.83,2022-04-15,0.17,57.6,Good,Flash Drum
V-201,NOZZLE,N1-Inlet,Inlet,-,11.13,5.57,10.27,10.4,2022-04-15,0.07,67.1,Good,Flash Drum
V-201,NOZZLE,N2-Outlet,Outlet,-,11.13,5.57,10.56,10.8,2022-04-15,0.12,41.6,Good,Flash Drum
V-201,NOZZLE,N3-Drain,Drain,-,11.13,5.57,10.32,10.57,2022-04-15,0.12,39.6,Good,Flash Drum
V-201,NOZZLE,MH-Manway,Manway,-,11.13,5.57,10.81,10.91,2022-04-15,0.05,104.8,Good,Flash Drum
