Tank_ID,Zone,Course,Grid_Row,Grid_Col,Orientation,Original_mm,t_min_mm,Reading_mm,Service
T-701,SHELL,1,,,N,25.4,12.7,20.88,Water
T-701,SHELL,1,,,NE,25.4,12.7,21.31,Water
T-701,SHELL,1,,,E,25.4,12.7,21.56,Water
T-701,SHELL,1,,,SE,25.4,12.7,21.67,Water
T-701,SHELL,1,,,S,25.4,12.7,20.94,Water
T-701,SHELL,1,,,SW,25.4,12.7,21.73,Water
T-701,SHELL,1,,,W,25.4,12.7,21.3,Water
T-701,SHELL,1,,,NW,25.4,12.7,21.36,Water
T-701,SHELL,2,,,N,22.23,11.12,18.78,Water
T-701,SHELL,2,,,NE,22.23,11.12,18.78,Water
T-701,SHELL,2,,,E,22.23,11.12,19.33,Water
T-701,SHELL,2,,,SE,22.23,11.12,18.79,Water
T-701,SHELL,2,,,S,22.23,11.12,18.78,Water
T-701,SHELL,2,,,SW,22.23,11.12,19.03,Water
T-701,SHELL,2,,,W,22.23,11.12,18.85,Water
T-701,SHELL,2,,,NW,22.23,11.12,19.54,Water
T-701,SHELL,3,,,N,19.05,9.53,16.85,Water
T-701,SHELL,3,,,NE,19.05,9.53,16.69,Water
T-701,SHELL,3,,,E,19.05,9.53,16.8,Water
T-701,SHELL,3,,,SE,19.05,9.53,16.92,Water
T-701,SHELL,3,,,S,19.05,9.53,16.81,Water
T-701,SHELL,3,,,SW,19.05,9.53,17.04,Water
T-701,SHELL,3,,,W,19.05,9.53,16.4,Water
T-701,SHELL,3,,,NW,19.05,9.53,16.66,Water
T-701,SHELL,4,,,N,15.88,7.94,14.61,Water
T-701,SHELL,4,,,NE,15.88,7.94,14.36,Water
T-701,SHELL,4,,,E,15.88,7.94,14.02,Water
T-701,SHELL,4,,,SE,15.88,7.94,14.48,Water
T-701,SHELL,4,,,S,15.88,7.94,14.19,Water
T-701,SHELL,4,,,SW,15.88,7.94,14.49,Water
T-701,SHELL,4,,,W,15.88,7.94,14.3,Water
T-701,SHELL,4,,,NW,15.88,7.94,14.5,Water
T-701,SHELL,5,,,N,12.7,6.35,11.8,Water
T-701,SHELL,5,,,NE,12.7,6.35,11.5,Water
T-701,SHELL,5,,,E,12.7,6.35,11.59,Water
T-701,SHELL,5,,,SE,12.7,6.35,11.64,Water
T-701,SHELL,5,,,S,12.7,6.35,11.46,Water
T-701,SHELL,5,,,SW,12.7,6.35,11.59,Water
T-701,SHELL,5,,,W,12.7,6.35,11.75,Water
T-701,SHELL,5,,,NW,12.7,6.35,11.87,Water
T-701,FLOOR,,A,1,,6.35,2.54,5.62,Water
T-701,FLOOR,,A,2,,6.35,2.54,6.0,Water
T-701,FLOOR,,A,3,,6.35,2.54,5.71,Water
T-701,FLOOR,,A,4,,6.35,2.54,6.06,Water
T-701,FLOOR,,A,5,,6.35,2.54,5.86,Water
T-701,FLOOR,,A,6,,6.35,2.54,5.67,Water
T-701,FLOOR,,B,1,,6.35,2.54,6.09,Water
T-701,FLOOR,,B,2,,6.35,2.54,5.76,Water
T-701,FLOOR,,B,3,,6.35,2.54,5.78,Water
T-701,FLOOR,,B,4,,6.35,2.54,4.74,Water
T-701,FLOOR,,B,5,,6.35,2.54,5.92,Water
T-701,FLOOR,,B,6,,6.35,2.54,5.76,Water
T-701,FLOOR,,C,1,,6.35,2.54,5.82,Water
T-701,FLOOR,,C,2,,6.35,2.54,5.86,Water
T-701,FLOOR,,C,3,,6.35,2.54,5.63,Water
T-701,FLOOR,,C,4,,6.35,2.54,6.03,Water
T-701,FLOOR,,C,5,,6.35,2.54,5.8,Water
