Circuit_ID,CML,Component,NPS,Schedule,Nominal_mm,t_min_mm,Reading_1,Reading_2,Reading_3,Reading_4,Min_mm,Prev_mm,Prev_Date,Corr_Rate_mm_yr,Remaining_Life_yr,Condition,Service,Material
HC-302,001,Weldolet,6,80,7.11,3.56,5.58,5.33,,,5.33,5.57,2024-12-17,0.15,11.8,Fair,Hydrocarbon Process,A106 Gr.B
HC-302,002,Straight,6,80,7.11,3.56,5.71,5.84,,,5.71,5.9,2024-12-17,0.13,16.6,Fair,Hydrocarbon Process,A106 Gr.B
HC-302,003,Weldolet,4,80,6.02,3.01,4.4,4.16,,,4.16,4.38,2024-12-17,0.11,10.5,Fair,Hydrocarbon Process,A106 Gr.B
HC-302,004,Weldolet,3,80,5.49,2.75,4.41,4.37,,,4.37,4.55,2024-12-17,0.09,18.1,Fair,Hydrocarbon Process,A106 Gr.B
HC-302,005,Reducer,3,80,5.49,2.75,4.17,4.11,,,4.11,4.3,2024-12-17,0.12,11.4,Fair,Hydrocarbon Process,A106 Gr.B
HC-302,006,Control Valve,6,80,7.11,3.56,5.59,5.61,5.69,5.75,5.59,5.79,2024-12-17,0.12,17.0,Fair,Hydrocarbon Process,A106 Gr.B
HC-302,007,90° Elbow,3,80,5.49,2.75,3.57,3.59,3.72,3.7,3.57,3.76,2024-12-17,0.11,7.5,ALERT,Hydrocarbon Process,A106 Gr.B
HC-302,008,Tee-Branch,6,80,7.11,3.56,5.92,5.78,5.86,5.85,5.78,5.94,2024-12-17,0.08,27.8,Good,Hydrocarbon Process,A106 Gr.B
HC-302,009,Straight,6,80,7.11,3.56,5.25,5.37,,,5.25,5.48,2024-12-17,0.14,12.1,Fair,Hydrocarbon Process,A106 Gr.B
HC-302,010,Tee-Run,6,80,7.11,3.56,5.53,5.66,5.64,5.41,5.41,5.61,2024-12-17,0.1,18.5,Fair,Hydrocarbon Process,A106 Gr.B
HC-302,011,Tee-Run,6,80,7.11,3.56,6.11,5.95,6.04,5.98,5.95,6.14,2024-12-17,0.12,20.0,Good,Hydrocarbon Process,A106 Gr.B
HC-302,012,Tee-Branch,3,80,5.49,2.75,4.43,4.43,4.17,4.33,4.17,4.29,2024-12-17,0.05,28.5,Good,Hydrocarbon Process,A106 Gr.B
HC-302,013,Flange,6,80,7.11,3.56,5.4,5.59,,,5.4,5.55,2024-12-17,0.08,23.1,Good,Hydrocarbon Process,A106 Gr.B
HC-302,014,45° Elbow,8,40,8.18,4.09,6.43,6.56,,,6.43,6.53,2024-12-17,0.05,46.8,Good,Hydrocarbon Process,A106 Gr.B
HC-302,015,Tee-Run,6,80,7.11,3.56,5.87,5.81,5.77,5.64,5.64,5.86,2024-12-17,0.1,20.8,Good,Hydrocarbon Process,A106 Gr.B
HC-302,016,90° Elbow,4,80,6.02,3.01,5.09,5.06,5.13,4.99,4.99,5.2,2024-12-17,0.1,19.8,Fair,Hydrocarbon Process,A106 Gr.B
HC-302,017,Tee-Branch,8,40,8.18,4.09,6.65,6.81,6.72,6.71,6.65,6.79,2024-12-17,0.08,32.0,Good,Hydrocarbon Process,A106 Gr.B
HC-302,018,90° Elbow,6,80,7.11,3.56,5.66,5.71,5.54,5.62,5.54,5.77,2024-12-17,0.1,19.8,Fair,Hydrocarbon Process,A106 Gr.B
HC-302,019,Tee-Branch,4,80,6.02,3.01,5.08,5.09,5.17,5.14,5.08,5.28,2024-12-17,0.12,17.3,Fair,Hydrocarbon Process,A106 Gr.B
HC-302,020,Control Valve,4,80,6.02,3.01,5.1,5.16,4.99,5.17,4.99,5.08,2024-12-17,0.04,49.5,Good,Hydrocarbon Process,A106 Gr.B
HC-302,021,90° Elbow,4,80,6.02,3.01,5.06,4.86,5.06,5.08,4.86,4.98,2024-12-17,0.05,37.0,Good,Hydrocarbon Process,A106 Gr.B
HC-302,022,Tee-Run,8,40,8.18,4.09,6.86,6.88,6.88,6.97,6.86,6.99,2024-12-17,0.06,46.2,Good,Hydrocarbon Process,A106 Gr.B
