Vessel_ID,Zone,CML,Orientation,Elevation,Nominal_mm,t_min_mm,Reading_mm,Prev_mm,Prev_Date,Corr_Rate_mm_yr,Remaining_Life_yr,Condition,Service
V-101,TOP_HEAD,TO-C,Center,-,19.05,9.53,17.85,18.2,2022-04-15,0.17,48.9,Fair,Amine Contactor
V-101,TOP_HEAD,TO-N,N,-,19.05,9.53,17.73,17.95,2022-04-15,0.11,74.5,Good,Amine Contactor
V-101,TOP_HEAD,TO-E,E,-,19.05,9.53,18.3,18.53,2022-04-15,0.12,73.1,Good,Amine Contactor
V-101,TOP_HEAD,TO-S,S,-,19.05,9.53,18.18,18.46,2022-04-15,0.14,61.8,Good,Amine Contactor
V-101,TOP_HEAD,TO-W,W,-,19.05,9.53,17.85,18.18,2022-04-15,0.16,52.0,Good,Amine Contactor
V-101,BTM_HEAD,BT-C,Center,-,19.05,9.53,17.12,17.4,2022-04-15,0.14,54.2,Good,Amine Contactor
V-101,BTM_HEAD,BT-N,N,-,19.05,9.53,17.28,17.53,2022-04-15,0.12,64.6,Good,Amine Contactor
V-101,BTM_HEAD,BT-E,E,-,19.05,9.53,17.4,17.61,2022-04-15,0.11,71.5,Good,Amine Contactor
V-101,BTM_HEAD,BT-S,S,-,19.05,9.53,16.93,17.16,2022-04-15,0.12,61.7,Good,Amine Contactor
V-101,BTM_HEAD,BT-W,W,-,19.05,9.53,16.69,16.86,2022-04-15,0.08,89.5,Good,Amine Contactor
V-101,SHELL_1,SC1-N,N,Mid,25.4,12.7,24.35,24.72,2022-04-15,0.18,64.7,Good,Amine Contactor
V-101,SHELL_1,SC1-NE,NE,Mid,25.4,12.7,24.63,25.02,2022-04-15,0.2,59.6,Good,Amine Contactor
V-101,SHELL_1,SC1-E,E,Mid,25.4,12.7,25.09,25.36,2022-04-15,0.13,95.3,Good,Amine Contactor
V-101,SHELL_1,SC1-SE,SE,Mid,25.4,12.7,24.63,24.82,2022-04-15,0.1,119.3,Good,Amine Contactor
V-101,SHELL_1,SC1-S,S,Mid,25.4,12.7,24.4,24.63,2022-04-15,0.12,97.5,Good,Amine Contactor
V-101,SHELL_1,SC1-SW,SW,Mid,25.4,12.7,24.88,25.12,2022-04-15,0.12,101.5,Good,Amine Contactor
V-101,SHELL_1,SC1-W,W,Mid,25.4,12.7,23.76,24.08,2022-04-15,0.16,69.1,Good,Amine Contactor
V-101,SHELL_1,SC1-NW,NW,Mid,25.4,12.7,23.96,24.14,2022-04-15,0.09,125.1,Good,Amine Contactor
V-101,SHELL_2,SC2-N,N,Mid,25.4,12.7,22.53,22.84,2022-04-15,0.15,65.5,Good,Amine Contactor
V-101,SHELL_2,SC2-NE,NE,Mid,25.4,12.7,22.4,22.63,2022-04-15,0.12,80.8,Good,Amine Contactor
V-101,SHELL_2,SC2-E,E,Mid,25.4,12.7,23.43,23.76,2022-04-15,0.17,63.1,Good,Amine Contactor
V-101,SHELL_2,SC2-SE,SE,Mid,25.4,12.7,22.07,22.37,2022-04-15,0.15,62.5,Good,Amine Contactor
V-101,SHELL_2,SC2-S,S,Mid,25.4,12.7,22.31,22.65,2022-04-15,0.17,56.5,Good,Amine Contactor
V-101,SHELL_2,SC2-SW,SW,Mid,25.4,12.7,22.68,22.9,2022-04-15,0.11,90.7,Good,Amine Contactor
V-101,SHELL_2,SC2-W,W,Mid,25.4,12.7,22.48,22.84,2022-04-15,0.18,54.3,Good,Amine Contactor
V-101,SHELL_2,SC2-NW,NW,Mid,25.4,12.7,22.35,22.74,2022-04-15,0.19,50.8,Good,Amine Contactor
V-101,SHELL_3,SC3-N,N,Mid,25.4,12.7,24.26,24.52,2022-04-15,0.13,88.9,Good,Amine Contactor
V-101,SHELL_3,SC3-NE,NE,Mid,25.4,12.7,24.78,24.98,2022-04-15,0.1,120.8,Good,Amine Contactor
V-101,SHELL_3,SC3-E,E,Mid,25.4,12.7,24.6,24.79,2022-04-15,0.09,132.2,Good,Amine Contactor
V-101,SHELL_3,SC3-SE,SE,Mid,25.4,12.7,25.01,25.24,2022-04-15,0.11,111.9,Good,Amine Contactor
V-101,SHELL_3,SC3-S,S,Mid,25.4,12.7,24.25,24.62,2022-04-15,0.19,60.8,Good,Amine Contactor
V-101,SHELL_3,SC3-SW,SW,Mid,25.4,12.7,25.19,25.53,2022-04-15,0.17,73.5,Good,Amine Contactor
V-101,SHELL_3,SC3-W,W,Mid,25.4,12.7,24.84,25.06,2022-04-15,0.11,110.4,Good,Amine Contactor
V-101,SHELL_3,SC3-NW,NW,Mid,25.4,12.7,24.01,24.35,2022-04-15,0.17,66.5,Good,Amine Contactor
V-101,NOZZLE,N1-Inlet,Inlet,-,11.13,5.57,10.83,10.99,2022-04-15,0.08,65.8,Good,Amine Contactor
V-101,NOZZLE,N2-Outlet,Outlet,-,11.13,5.57,10.82,10.94,2022-04-15,0.06,87.5,Good,Amine Contactor
V-101,NOZZLE,N3-Drain,Drain,-,11.13,5.57,10.4,10.5,2022-04-15,0.05,96.6,Good,Amine Contactor
V-101,NOZZLE,MH-Manway,Manway,-,11.13,5.57,10.35,10.5,2022-04-15,0.08,59.7,Good,Amine Contactor
