Tank_ID,Zone,Course,Grid_Row,Grid_Col,Orientation,Original_mm,t_min_mm,Reading_mm,Service
T-601,SHELL,1,,,N,25.4,12.7,21.26,Diesel
T-601,SHELL,1,,,NE,25.4,12.7,21.06,Diesel
T-601,SHELL,1,,,E,25.4,12.7,20.52,Diesel
T-601,SHELL,1,,,SE,25.4,12.7,21.24,Diesel
T-601,SHELL,1,,,S,25.4,12.7,21.2,Diesel
T-601,SHELL,1,,,SW,25.4,12.7,21.04,Diesel
T-601,SHELL,1,,,W,25.4,12.7,21.0,Diesel
T-601,SHELL,1,,,NW,25.4,12.7,21.02,Diesel
T-601,SHELL,2,,,N,22.23,11.12,19.07,Diesel
T-601,SHELL,2,,,NE,22.23,11.12,18.97,Diesel
T-601,SHELL,2,,,E,22.23,11.12,18.86,Diesel
T-601,SHELL,2,,,SE,22.23,11.12,18.45,Diesel
T-601,SHELL,2,,,S,22.23,11.12,18.86,Diesel
T-601,SHELL,2,,,SW,22.23,11.12,18.98,Diesel
T-601,SHELL,2,,,W,22.23,11.12,18.78,Diesel
T-601,SHELL,2,,,NW,22.23,11.12,18.75,Diesel
T-601,SHELL,3,,,N,19.05,9.53,16.07,Diesel
T-601,SHELL,3,,,NE,19.05,9.53,16.11,Diesel
T-601,SHELL,3,,,E,19.05,9.53,16.26,Diesel
T-601,SHELL,3,,,SE,19.05,9.53,16.76,Diesel
T-601,SHELL,3,,,S,19.05,9.53,16.05,Diesel
T-601,SHELL,3,,,SW,19.05,9.53,16.46,Diesel
T-601,SHELL,3,,,W,19.05,9.53,16.26,Diesel
T-601,SHELL,3,,,NW,19.05,9.53,16.15,Diesel
T-601,SHELL,4,,,N,15.88,7.94,13.78,Diesel
T-601,SHELL,4,,,NE,15.88,7.94,13.88,Diesel
T-601,SHELL,4,,,E,15.88,7.94,14.17,Diesel
T-601,SHELL,4,,,SE,15.88,7.94,14.06,Diesel
T-601,SHELL,4,,,S,15.88,7.94,14.29,Diesel
T-601,SHELL,4,,,SW,15.88,7.94,13.71,Diesel
T-601,SHELL,4,,,W,15.88,7.94,14.01,Diesel
T-601,SHELL,4,,,NW,15.88,7.94,14.22,Diesel
T-601,SHELL,5,,,N,12.7,6.35,11.23,Diesel
T-601,SHELL,5,,,NE,12.7,6.35,11.41,Diesel
T-601,SHELL,5,,,E,12.7,6.35,11.23,Diesel
T-601,SHELL,5,,,SE,12.7,6.35,11.55,Diesel
T-601,SHELL,5,,,S,12.7,6.35,11.56,Diesel
T-601,SHELL,5,,,SW,12.7,6.35,11.24,Diesel
T-601,SHELL,5,,,W,12.7,6.35,11.58,Diesel
T-601,SHELL,5,,,NW,12.7,6.35,11.2,Diesel
T-601,SHELL,6,,,N,9.53,4.76,8.65,Diesel
T-601,SHELL,6,,,NE,9.53,4.76,8.85,Diesel
T-601,SHELL,6,,,E,9.53,4.76,8.89,Diesel
T-601,SHELL,6,,,SE,9.53,4.76,8.65,Diesel
T-601,SHELL,6,,,S,9.53,4.76,8.64,Diesel
T-601,SHELL,6,,,SW,9.53,4.76,8.76,Diesel
T-601,SHELL,6,,,W,9.53,4.76,8.75,Diesel
T-601,SHELL,6,,,NW,9.53,4.76,8.7,Diesel
T-601,FLOOR,,A,1,,6.35,2.54,6.04,Diesel
T-601,FLOOR,,A,2,,6.35,2.54,5.99,Diesel
T-601,FLOOR,,A,3,,6.35,2.54,5.64,Diesel
T-601,FLOOR,,A,4,,6.35,2.54,4.59,Diesel
T-601,FLOOR,,A,5,,6.35,2.54,5.84,Diesel
T-601,FLOOR,,A,6,,6.35,2.54,5.69,Diesel
